t,x,y,dx/dtime,dy/dtime
22.3,-0.1889222234096466,-2.2463938067581983,-2.2463938067581983,-0.8941859780742238
22.4,-0.41356160408546644,-2.335812404565621,-2.335812404565621,-0.5545938626845697
22.5,-0.6471428445420285,-2.391271790834078,-2.391271790834078,-0.04776807759383461
22.6,-0.8862700236254364,-2.3960485985934614,-2.3960485985934614,0.6292633274308704
22.7,-1.1258748834847825,-2.3331222658503745,-2.3331222658503745,1.438039938734222
22.8,-1.3591871100698198,-2.189318271976952,-2.189318271976952,2.2867898776484226
22.9,-1.578118937267515,-1.9606392842121099,-1.9606392842121099,3.0392455434018837
23.0,-1.7741828656887262,-1.6567147298719216,-1.6567147298719216,3.5532665555070224
23.1,-1.9398543386759184,-1.3013880743212194,-1.3013880743212194,3.7377446434734023
23.2,-2.0699931461080405,-0.9276136099738792,-0.9276136099738792,3.593538959261058
23.3,-2.1627545071054284,-0.5682597140477734,-0.5682597140477734,3.2076440617006794
23.4,-2.219580478510206,-0.24749530787770546,-0.24749530787770546,2.705480282310352
23.5,-2.2443300092979763,0.02305272035332978,0.02305272035332978,2.1977978951193244
23.6,-2.242024737262643,0.24283250986526222,0.24283250986526222,1.753120948341839
23.7,-2.217741486276117,0.41814460469944614,0.41814460469944614,1.3985173227006371
23.8,-2.1759270258061725,0.5579963369695099,0.5579963369695099,1.1339641662542057
23.9,-2.1201273921092216,0.6713927535949304,0.6713927535949304,0.9468886436855539
24.0,-2.0529881167497286,0.7660816179634858,0.7660816179634858,0.8216037661806384
24.1,-1.97637995495338,0.8482419945815497,0.8482419945815497,0.7438513714529051
24.2,-1.8915557554952251,0.9226271317268402,0.9226271317268402,0.7022971437708954
24.3,-1.799293042322541,0.9928568461039298,0.9928568461039298,0.6885565605625439
24.4,-1.7000073577121482,1.061712502160184,1.061712502160184,0.6966757631245784
24.5,-1.5938361074961298,1.131380078472642,1.131380078472642,0.7224960819984739
24.6,-1.4806980996488657,1.2036296866724894,1.2036296866724894,0.7630538417278637
24.7,-1.3603351309816167,1.2799350708452757,1.2799350708452757,0.8160352745905046
24.8,-1.2323416238970892,1.3615385983043262,1.3615385983043262,0.8792498176441619
24.9,-1.0961877640666566,1.4494635800687423,1.4494635800687423,0.9500618223872457
25.0,-0.9512414060597824,1.5444697623074668,1.5444697623074668,1.0247116684736113
25.1,-0.7967944298290357,1.646940929154828,1.646940929154828,1.0974588431304928
25.2,-0.6321003369135529,1.7566868134678773,1.7566868134678773,1.1595009012566562
25.3,-0.45643165556676524,1.8726369035935428,1.8726369035935428,1.1976870189401083
25.4,-0.26916796520741093,1.9924056054875536,1.9924056054875536,1.1931944866898743
25.5,-0.06992740465865555,2.111725054156541,2.111725054156541,1.120626930887838
25.6,0.14124510075699856,2.223787747245325,2.223787747245325,0.9484662916273396
25.7,0.3636238754815311,2.318634376408059,2.318634376408059,0.6424057012127693
25.8,0.5954873131223369,2.382874946529336,2.382874946529336,0.17346030802724277
25.9,0.8337748077752706,2.40022097733206,2.40022097733206,-0.46795764476443763
26.0,1.0737969055084766,2.3534252128556163,2.3534252128556163,-1.253880760722377
26.1,1.3091394267940384,2.2280371367833784,2.2280371367833784,-2.1043771689751907
26.2,1.5319431404723762,2.0175994198858596,2.0175994198858596,-2.8906448135630756
26.3,1.7337030824609623,1.728534938529552,1.728534938529552,-3.4671871433289945
26.4,1.9065565763139176,1.3818162241966525,1.3818162241966525,-3.727070418826178
26.5,2.044738198733583,1.0091091823140346,1.0091091823140346,-3.6497032957455637
26.6,2.1456491169649867,0.6441388527394782,0.6441388527394782,-3.3063261792884653
26.7,2.2100630022389347,0.31350623481063167,0.31350623481063167,-2.818951437199435
26.8,2.2414136257199977,0.03161109109068816,0.03161109109068816,-2.3050141142909317
26.9,2.2445747348290666,-0.19889032033840504,-0.19889032033840504,-1.8430036682598205
27.0,2.224685702795226,-0.3831906871643871,-0.3831906871643871,-1.4680322991996744
27.1,2.1863666340787873,-0.5299939170843545,-0.5299939170843545,-1.1846253808623393
27.2,2.133367242370352,-0.6484564551705885,-0.6484564551705885,-0.9819498716111341
27.3,2.068521596853293,-0.7466514423317019,-0.7466514423317019,-0.8444680927391726
27.4,1.9938564526201228,-0.8310982516056191,-0.8310982516056191,-0.757405174040708
27.5,1.9107466274595608,-0.90683876900969,-0.90683876900969,-0.7087532975051791
27.6,1.8200627505585918,-0.9777140987602079,-0.9777140987602079,-0.6895180468144706
27.7,1.722291340682571,-1.046665903441655,-1.046665903441655,-0.6932683191629354
27.8,1.6176247503384056,-1.1159927353579486,-1.1159927353579486,-0.715506535985201
27.9,1.5060254768026107,-1.1875433889564688,-1.1875433889564688,-0.7530560282961911
28.0,1.3872711379069638,-1.262848991786088,-1.262848991786088,-0.8035057988962878
28.1,1.260986238728355,-1.3431995716757168,-1.3431995716757168,-0.8646844098759496
28.2,1.1266662815607833,-1.4296680126633117,-1.4296680126633117,-0.9341065057679508
28.3,0.9836994802944521,-1.5230786632401068,-1.5230786632401068,-1.0083241077701686
28.4,0.8313916139704414,-1.6239110740171236,-1.6239110740171236,-1.082113727519278
28.5,0.669000506568729,-1.7321224467690515,-1.7321224467690515,-1.1474459157470953
28.6,0.49578826189182384,-1.846867038343761,-1.846867038343761,-1.1922362808686406
28.7,0.3111015580574477,-1.9660906664306252,-1.9660906664306252,-1.199003655359182
28.8,0.11449249141438517,-2.0859910319665436,-2.0859910319665436,-1.1438158687708726
28.9,-0.0941066117822692,-2.200372618843631,-2.200372618843631,-0.9963363878539223
29.0,-0.3141438736666323,-2.300006257629023,-2.300006257629023,-0.7223696170099035
29.1,-0.5441444994295347,-2.3722432193300134,-2.3722432193300134,-0.29077452423252903
29.2,-0.781368821362536,-2.4013206717532665,-2.4013206717532665,0.31375632712316665
29.3,-1.0215008885378627,-2.36994503904095,-2.36994503904095,1.0730046114856233
29.4,-1.2584953924419577,-2.2626445778923876,-2.2626445778923876,1.9189733964761522
29.5,-1.4847598502311965,-2.0707472382447722,-2.0707472382447722,2.7318796051862355
29.6,-1.6918345740556737,-1.7975592777261487,-1.7975592777261487,3.365635693726296
29.7,-1.8715905018282886,-1.460995708353519,-1.460995708353519,3.6999177914254195
29.8,-2.0176900726636404,-1.091003929210977,-1.091003929210977,3.692966552707972
29.9,-2.126790465584738,-0.7217072739401797,-0.7217072739401797,3.3981635979474154
30.0,-2.1989611929787563,-0.3818909141454382,-0.3818909141454382,2.9313191900725446
30.1,-2.2371502843933,-0.0887589951381837,-0.0887589951381837,2.4148831333455716
30.2,-2.2460261839071185,0.15272931819637348,0.15272931819637348,1.937159116430668
30.3,-2.230753252087481,0.34644522983944026,0.34644522983944026,1.5419750848669285
30.4,-2.1961087291035373,0.5006427383261332,0.5006427383261332,1.2391567814916784
30.5,-2.146044455270924,0.624558416475301,0.624558416475301,1.0201196452226307
30.6,-2.0835886136233936,0.7265703809975641,0.7265703809975641,0.8697287263432782
30.7,-2.0109315755236374,0.813543253631892,0.813543253631892,0.7727814670958242
30.8,-1.9295772501604482,0.8908214003414744,0.8908214003414744,0.7166043812483949
30.9,-1.8404951101263007,0.9624818384663139,0.9624818384663139,0.6915698317466785
31.0,-1.7442469262796694,1.0316388216409818,1.0316388216409818,0.6907387337840878
31.1,-1.6410830441155713,1.1007126950193906,1.1007126950193906,0.7092452363357624
31.2,-1.5310117746136322,1.1716372186529669,1.1716372186529669,0.7436732894971907
31.3,-1.4138480527483355,1.246004547602686,1.246004547602686,0.791489766267242
31.4,-1.2892475979880669,1.3251535242294101,1.3251535242294101,0.850516187326462
31.5,-1.1567322455651259,1.4102051429620563,1.4102051429620563,0.91838678438917
31.6,-1.0157117312689203,1.5020438214009733,1.5020438214009733,0.9919266262509838
31.7,-0.865507349128823,1.6012364840260715,1.6012364840260715,1.06638008709605
