x_0,x,y,dy/dx,state
55,159,24.984520655922086,-0.044767809838831295,"Cooling"
55,160,24.939752846083255,-0.04409629269124883,"Cooling"
55,161,24.895656553392005,-0.04343484830088007,"Cooling"
55,162,24.852221705091125,-0.042783325576366875,"Cooling"
55,163,24.80943837951476,-0.04214157569272139,"Cooling"
55,164,24.76729680382204,-0.04150945205733057,"Cooling"
55,165,24.72578735176471,-0.04088681027647063,"Cooling"
55,166,24.684900541488236,-0.04027350812232355,"Cooling"
55,167,24.644627033365914,-0.03966940550048871,"Cooling"
55,168,24.604957627865424,-0.039074364417981365,"Cooling"
55,169,24.565883263447443,-0.03848824895171164,"Cooling"
55,170,24.52739501449573,-0.03791092521743596,"Cooling"
55,171,24.489484089278296,-0.03734226133917444,"Cooling"
55,172,24.452141827939123,-0.03678212741908684,"Cooling"
55,173,24.415359700520035,-0.03623039550780053,"Cooling"
55,174,24.379129305012235,-0.03568693957518352,"Cooling"
55,175,24.343442365437053,-0.03515163548155579,"Cooling"
55,176,24.308290729955498,-0.034624360949332474,"Cooling"
55,177,24.273666369006165,-0.03410499553509247,"Cooling"
55,178,24.239561373471073,-0.03359342060206609,"Cooling"
55,179,24.205967952869006,-0.033089519293035094,"Cooling"
55,180,24.17287843357597,-0.032593176503639555,"Cooling"
55,181,24.140285257072332,-0.032104278856084974,"Cooling"
55,182,24.108180978216247,-0.0316227146732437,"Cooling"
55,183,24.076558263543003,-0.031148373953145042,"Cooling"
55,184,24.04540988958986,-0.030681148343847883,"Cooling"
55,185,24.01472874124601,-0.03022093111869015,"Cooling"
55,186,23.98450781012732,-0.02976761715190978,"Cooling"
55,187,23.954740192975407,-0.02932110289463111,"Cooling"
55,188,23.925419090080776,-0.028881286351211646,"Cooling"
55,189,23.896537803729565,-0.028448067055943476,"Cooling"
55,190,23.86808973667362,-0.028021346050104316,"Cooling"
55,191,23.840068390623518,-0.02760102585935277,"Cooling"
55,192,23.812467364764164,-0.027187010471462453,"Cooling"
55,193,23.785280354292702,-0.02677920531439053,"Cooling"
55,194,23.75850114897831,-0.026377517234674668,"Cooling"
55,195,23.732123631743637,-0.02598185447615455,"Cooling"
55,196,23.706141777267483,-0.025592126659012244,"Cooling"
55,197,23.68054965060847,-0.02520824475912704,"Cooling"
55,198,23.65534140584934,-0.024830121087740124,"Cooling"
55,199,23.630511284761603,-0.024457669271424044,"Cooling"
56,0,56,-0.51,"Cooling"
56,1,55.49,-0.50235,"Cooling"
56,2,54.98765,-0.49481475,"Cooling"
56,3,54.49283525,-0.48739252874999994,"Cooling"
56,4,54.00544272125,-0.48008164081875,"Cooling"
56,5,53.525361080431246,-0.47288041620646865,"Cooling"
56,6,53.052480664224774,-0.4657872099633716,"Cooling"
56,7,52.5866934542614,-0.458800401813921,"Cooling"
56,8,52.127893052447476,-0.4519183957867121,"Cooling"
56,9,51.67597465666076,-0.4451396198499114,"Cooling"
56,10,51.23083503681085,-0.43846252555216275,"Cooling"
56,11,50.79237251125869,-0.43188558766888036,"Cooling"
56,12,50.36048692358981,-0.4254073038538471,"Cooling"
56,13,49.935079619735966,-0.4190261942960395,"Cooling"
56,14,49.51605342543993,-0.4127408013815989,"Cooling"
56,15,49.103312624058326,-0.4065496893608749,"Cooling"
56,16,48.69676293469745,-0.4004514440204618,"Cooling"
56,17,48.29631149067699,-0.39444467236015485,"Cooling"
56,18,47.90186681831684,-0.3885280022747526,"Cooling"
56,19,47.513338816042086,-0.3827000822406313,"Cooling"
56,20,47.130638733801455,-0.3769595810070218,"Cooling"
56,21,46.75367915279443,-0.37130518729191647,"Cooling"
56,22,46.38237396550252,-0.36573560948253775,"Cooling"
56,23,46.01663835601998,-0.3602495753402997,"Cooling"
56,24,45.656388780679684,-0.35484583171019524,"Cooling"
56,25,45.30154294896949,-0.34952314423454234,"Cooling"
56,26,44.952019804734945,-0.34428029707102414,"Cooling"
56,27,44.60773950766392,-0.33911609261495884,"Cooling"
56,28,44.268623415048964,-0.33402935122573446,"Cooling"
56,29,43.934594063823226,-0.32901891095734837,"Cooling"
56,30,43.605575152865875,-0.3240836272929881,"Cooling"
56,31,43.28149152557289,-0.31922237288359334,"Cooling"
56,32,42.962269152689295,-0.3144340372903394,"Cooling"
56,33,42.647835115398955,-0.3097175267309843,"Cooling"
56,34,42.33811758866797,-0.30507176383001955,"Cooling"
56,35,42.03304582483795,-0.3004956873725692,"Cooling"
56,36,41.73255013746538,-0.2959882520619807,"Cooling"
56,37,41.4365618854034,-0.291548428281051,"Cooling"
56,38,41.145013457122346,-0.28717520185683515,"Cooling"
56,39,40.85783825526551,-0.2828675738289827,"Cooling"
56,40,40.57497068143653,-0.27862456022154797,"Cooling"
56,41,40.29634612121499,-0.2744451918182248,"Cooling"
56,42,40.021900929396764,-0.2703285139409515,"Cooling"
56,43,39.75157241545581,-0.26627358623183717,"Cooling"
56,44,39.48529882922397,-0.2622794824383596,"Cooling"
56,45,39.22301934678561,-0.2583452902017842,"Cooling"
56,46,38.96467405658383,-0.2544701108487575,"Cooling"
56,47,38.710203945735074,-0.2506530591860261,"Cooling"
56,48,38.459550886549046,-0.2468932632982357,"Cooling"
56,49,38.21265762325081,-0.2431898643487622,"Cooling"
56,50,37.96946775890205,-0.23954201638353073,"Cooling"
56,51,37.72992574251852,-0.23594888613777776,"Cooling"
56,52,37.49397685638074,-0.2324096528457111,"Cooling"
56,53,37.26156720353503,-0.22892350805302544,"Cooling"
56,54,37.032643695482,-0.22548965543223,"Cooling"
56,55,36.807154040049774,-0.2221073106007466,"Cooling"
56,56,36.585046729449026,-0.21877570094173537,"Cooling"
56,57,36.36627102850729,-0.21549406542760938,"Cooling"
56,58,36.150776963079686,-0.21226165444619527,"Cooling"
56,59,35.93851530863349,-0.20907772962950236,"Cooling"
56,60,35.729437579003985,-0.20594156368505978,"Cooling"
56,61,35.523496015318926,-0.20285244022978388,"Cooling"
56,62,35.32064357508914,-0.19980965362633712,"Cooling"
56,63,35.120833921462804,-0.19681250882194204,"Cooling"
56,64,34.92402141264086,-0.1938603211896129,"Cooling"
56,65,34.73016109145125,-0.19095241637176877,"Cooling"
56,66,34.53920867507948,-0.1880881301261922,"Cooling"
56,67,34.35112054495329,-0.18526680817429933,"Cooling"
56,68,34.16585373677899,-0.18248780605168488,"Cooling"
56,69,33.98336593072731,-0.17975048896090964,"Cooling"
56,70,33.8036154417664,-0.17705423162649594,"Cooling"
56,71,33.6265612101399,-0.17439841815209844,"Cooling"
56,72,33.452162791987796,-0.17178244187981692,"Cooling"
56,73,33.280380350107976,-0.16920570525161963,"Cooling"
56,74,33.111174644856355,-0.16666761967284532,"Cooling"
56,75,32.94450702518351,-0.16416760537775268,"Cooling"
56,76,32.780339419805756,-0.16170509129708632,"Cooling"
56,77,32.61863432850867,-0.15927951492763004,"Cooling"
56,78,32.45935481358104,-0.15689032220371554,"Cooling"
56,79,32.30246449137732,-0.1545369673706598,"Cooling"
56,80,32.14792752400666,-0.15221891286009992,"Cooling"
56,81,31.99570861114656,-0.1499356291671984,"Cooling"
56,82,31.845772981979362,-0.14768659472969042,"Cooling"
56,83,31.69808638724967,-0.14547129580874504,"Cooling"
56,84,31.552615091440927,-0.1432892263716139,"Cooling"
56,85,31.409325865069313,-0.14113988797603969,"Cooling"
56,86,31.268185977093275,-0.1390227896563991,"Cooling"
56,87,31.129163187436877,-0.13693744781155315,"Cooling"
56,88,30.992225739625322,-0.13488338609437983,"Cooling"
56,89,30.857342353530942,-0.13286013530296414,"Cooling"
56,90,30.72448221822798,-0.1308672332734197,"Cooling"
56,91,30.59361498495456,-0.1289042247743184,"Cooling"
56,92,30.464710760180242,-0.12697066140270363,"Cooling"
56,93,30.337740098777537,-0.12506610148166306,"Cooling"
56,94,30.212673997295873,-0.12319010995943809,"Cooling"
56,95,30.089483887336435,-0.12134225831004652,"Cooling"
56,96,29.968141629026388,-0.11952212443539581,"Cooling"
56,97,29.848619504590992,-0.11772929256886489,"Cooling"
56,98,29.73089021202213,-0.11596335318033192,"Cooling"
56,99,29.614926858841795,-0.11422390288262692,"Cooling"
56,100,29.500702955959166,-0.1125105443393875,"Cooling"
56,101,29.38819241161978,-0.1108228861742967,"Cooling"
56,102,29.277369525445483,-0.10916054288168224,"Cooling"
56,103,29.1682089825638,-0.10752313473845701,"Cooling"
56,104,29.060685847825344,-0.10591028771738015,"Cooling"
56,105,28.954775560107965,-0.10432163340161947,"Cooling"
56,106,28.850453926706347,-0.1027568089005952,"Cooling"
56,107,28.747697117805753,-0.10121545676708629,"Cooling"
56,108,28.646481661038667,-0.09969722491558,"Cooling"
56,109,28.546784436123087,-0.0982017665418463,"Cooling"
56,110,28.448582669581242,-0.09672874004371863,"Cooling"
56,111,28.351853929537523,-0.09527780894306284,"Cooling"
56,112,28.25657612059446,-0.09384864180891689,"Cooling"
56,113,28.16272747878554,-0.09244091218178312,"Cooling"
56,114,28.07028656660376,-0.09105429849905639,"Cooling"
56,115,27.979232268104703,-0.08968848402157054,"Cooling"
56,116,27.88954378408313,-0.08834315676124696,"Cooling"
56,117,27.801200627321883,-0.08701800940982825,"Cooling"
56,118,27.714182617912055,-0.08571273926868082,"Cooling"
56,119,27.628469878643376,-0.08442704817965063,"Cooling"
56,120,27.544042830463724,-0.08316064245695585,"Cooling"
56,121,27.460882188006767,-0.0819132328201015,"Cooling"
56,122,27.378968955186664,-0.08068453432779997,"Cooling"
56,123,27.298284420858863,-0.07947426631288294,"Cooling"
56,124,27.21881015454598,-0.0782821523181897,"Cooling"
56,125,27.140528002227793,-0.07710792003341689,"Cooling"
56,126,27.063420082194376,-0.07595130123291564,"Cooling"
56,127,26.98746878096146,-0.07481203171442191,"Cooling"
56,128,26.912656749247038,-0.07368985123870557,"Cooling"
56,129,26.838966898008334,-0.072584503470125,"Cooling"
56,130,26.76638239453821,-0.07149573591807312,"Cooling"
56,131,26.694886658620135,-0.07042329987930201,"Cooling"
56,132,26.624463358740833,-0.0693669503811125,"Cooling"
56,133,26.55509640835972,-0.0683264461253958,"Cooling"
