time,x,y
40.9,-0.7792945742,-2.216955612
41,-0.9982147768,-2.150587104
41.1,-1.207170527,-2.01726652
41.2,-1.399501818,-1.819281736
41.3,-1.569251872,-1.568294532
41.4,-1.712017957,-1.283114243
41.5,-1.825453281,-0.9852121867
41.6,-1.909288203,-0.6939560399
41.7,-1.964942451,-0.4234201003
41.8,-1.994930165,-0.1814393068
41.9,-2.002266464,0.02958024675
42,-1.990001717,0.2110423561
42.1,-1.960925077,0.3665203612
42.2,-1.917414563,0.5004927133
42.3,-1.861390433,0.6175365309
42.4,-1.794329389,0.7218994992
42.5,-1.717307752,0.8173276894
42.6,-1.631053829,0.9070409935
42.7,-1.535998302,0.9937792133
42.8,-1.432319018,1.079871532
42.9,-1.319979239,1.167296133
43,-1.198759266,1.257715548
43.1,-1.068291114,1.352471349
43.2,-0.9280883905,1.452511443
43.3,-0.7775977457,1.558259232
43.4,-0.6162571343,1.669357565
43.5,-0.4435955699,1.784318431
43.6,-0.259365982,1.900038014
43.7,-0.06373554467,2.011236221
43.8,0.1424689063,2.109959434
43.9,0.3574827988,2.1854008
44,0.5783363962,2.224443215
44.1,0.8006975687,2.213345732
44.2,1.018946072,2.140663638
44.3,1.226582259,2.000842336
44.4,1.416972695,1.797086478
44.5,1.584277307,1.541894137
44.6,1.724277413,1.254548173
44.7,1.834833645,0.9565103722
44.8,1.915861524,0.6667411682
44.9,1.968913923,0.3987190281
45,1.996578012,0.1596987455
45.1,2.001889812,-0.04835754594
45.2,1.987884808,-0.227130646
45.3,1.957317011,-0.3803290086
45.4,1.912520963,-0.5124689986
45.5,1.855372781,-0.6281095602
45.6,1.78730834,-0.7314543299
45.7,1.709368022,-0.8261979066
45.8,1.622249205,-0.9155113055
45.9,1.526356448,-1.002091525
46,1.42184513,-1.08823133
46.1,1.308659548,-1.175877413
46.2,1.186564365,-1.266663683
46.3,1.055178253,-1.361894792
46.4,0.9140066512,-1.462479323
46.5,0.7624910283,-1.568773177
46.6,0.600075235,-1.680331529
46.7,0.4263016548,-1.795532283
46.8,0.2409543088,-1.911084328
46.9,0.04425383346,-2.021470395
47,-0.1628960989,-2.118459409
47.1,-0.3786250499,-2.190982025
47.2,-0.5998354349,-2.225769515
47.3,-0.8220627775,-2.209155129
47.4,-1.039578316,-2.130105655
47.5,-1.24583229,-1.983814019
47.6,-1.434226652,-1.774407201
47.7,-1.599046072,-1.515192821
47.8,-1.736260218,-1.225884566
47.9,-1.843936898,-0.9278899591
48,-1.92217281,-0.6397341497
48.1,-1.972648022,-0.3742928982
48.2,-1.998017136,-0.1382500123
48.3,-2.001332925,0.06685997851
48.4,-1.985613499,0.2429795265
48.5,-1.953576361,0.3939410741
48.6,-1.907512266,0.5242915768
48.7,-1.849253397,0.6385681927
48.8,-1.78019523,0.7409292219
48.9,-1.701342735,0.8350179196
49,-1.613362829,0.9239563239
49.1,-1.516634109,1.010399951
49.2,-1.411290388,1.096605404
49.3,-1.297256614,1.184488973
49.4,-1.174282863,1.275652723
49.5,-1.041973986,1.371369305
49.6,-0.8998277757,1.472499505
49.7,-0.7472829436,1.579337916
49.8,-0.58378671,1.691341587
