"time","temp","dtemp/dtime","state"
376,23.4,-2.34,No heating
377,21.06,-2.106,No heating
378,18.954,-1.8954000000000002,Heating
379,17.058600000000002,8.941399999999998,Heating
380,26.0,0.0,No heating
381,26.0,-2.6,No heating
382,23.4,-2.34,No heating
383,21.06,-2.106,No heating
384,18.954,-1.8954000000000002,Heating
385,17.058600000000002,8.941399999999998,Heating
386,26.0,0.0,No heating
387,26.0,-2.6,No heating
388,23.4,-2.34,No heating
389,21.06,-2.106,No heating
390,18.954,-1.8954000000000002,Heating
391,17.058600000000002,8.941399999999998,Heating
392,26.0,0.0,No heating
393,26.0,-2.6,No heating
394,23.4,-2.34,No heating
395,21.06,-2.106,No heating
396,18.954,-1.8954000000000002,Heating
397,17.058600000000002,8.941399999999998,Heating
398,26.0,0.0,No heating
399,26.0,-2.6,No heating
400,23.4,-2.34,No heating
401,21.06,-2.106,No heating
402,18.954,-1.8954000000000002,Heating
403,17.058600000000002,8.941399999999998,Heating
404,26.0,0.0,No heating
405,26.0,-2.6,No heating
406,23.4,-2.34,No heating
407,21.06,-2.106,No heating
408,18.954,-1.8954000000000002,Heating
409,17.058600000000002,8.941399999999998,Heating
410,26.0,0.0,No heating
411,26.0,-2.6,No heating
412,23.4,-2.34,No heating
413,21.06,-2.106,No heating
414,18.954,-1.8954000000000002,Heating
415,17.058600000000002,8.941399999999998,Heating
416,26.0,0.0,No heating
417,26.0,-2.6,No heating
418,23.4,-2.34,No heating
419,21.06,-2.106,No heating
420,18.954,-1.8954000000000002,Heating
421,17.058600000000002,8.941399999999998,Heating
422,26.0,0.0,No heating
423,26.0,-2.6,No heating
424,23.4,-2.34,No heating
425,21.06,-2.106,No heating
426,18.954,-1.8954000000000002,Heating
427,17.058600000000002,8.941399999999998,Heating
428,26.0,0.0,No heating
429,26.0,-2.6,No heating
430,23.4,-2.34,No heating
431,21.06,-2.106,No heating
432,18.954,-1.8954000000000002,Heating
433,17.058600000000002,8.941399999999998,Heating
434,26.0,0.0,No heating
435,26.0,-2.6,No heating
436,23.4,-2.34,No heating
437,21.06,-2.106,No heating
438,18.954,-1.8954000000000002,Heating
439,17.058600000000002,8.941399999999998,Heating
440,26.0,0.0,No heating
441,26.0,-2.6,No heating
442,23.4,-2.34,No heating
443,21.06,-2.106,No heating
444,18.954,-1.8954000000000002,Heating
445,17.058600000000002,8.941399999999998,Heating
446,26.0,0.0,No heating
447,26.0,-2.6,No heating
448,23.4,-2.34,No heating
449,21.06,-2.106,No heating
450,18.954,-1.8954000000000002,Heating
451,17.058600000000002,8.941399999999998,Heating
452,26.0,0.0,No heating
453,26.0,-2.6,No heating
454,23.4,-2.34,No heating
455,21.06,-2.106,No heating
456,18.954,-1.8954000000000002,Heating
457,17.058600000000002,8.941399999999998,Heating
458,26.0,0.0,No heating
459,26.0,-2.6,No heating
460,23.4,-2.34,No heating
461,21.06,-2.106,No heating
462,18.954,-1.8954000000000002,Heating
463,17.058600000000002,8.941399999999998,Heating
464,26.0,0.0,No heating
465,26.0,-2.6,No heating
466,23.4,-2.34,No heating
467,21.06,-2.106,No heating
468,18.954,-1.8954000000000002,Heating
